Product_Name,Category,Date,Units_Sold
Bananas,Fruits & Vegetables,2023-01-01,296
Bell Pepper,Fruits & Vegetables,2023-01-01,106
Butter (250g),Oils & Fats,2023-01-01,145
Cheddar Cheese,Dairy & Eggs,2023-01-01,124
Chicken Breast,Meat & Seafood,2023-01-01,219
Cumin Powder,Condiments & Spices,2023-01-01,85
Dark Chocolate,Snacks & Confectionery,2023-01-01,142
Eggs (12pk),Dairy & Eggs,2023-01-01,372
Frozen Peas (500g),Frozen Foods,2023-01-01,175
Frozen Pizza,Frozen Foods,2023-01-01,106
Greek Yogurt,Dairy & Eggs,2023-01-01,95
Green Tea (20pk),Beverages,2023-01-01,137
Ground Beef,Meat & Seafood,2023-01-01,140
Honey (500g),Snacks & Confectionery,2023-01-01,102
Milk (1L),Dairy & Eggs,2023-01-01,321
Mineral Water (2L),Beverages,2023-01-01,263
Oats (1kg),Grains & Staples,2023-01-01,172
Olive Oil,Oils & Fats,2023-01-01,112
Onions,Fruits & Vegetables,2023-01-01,128
Orange Juice (1L),Beverages,2023-01-01,99
Pasta (500g),Grains & Staples,2023-01-01,263
Potato Chips,Snacks & Confectionery,2023-01-01,110
Potatoes,Fruits & Vegetables,2023-01-01,220
Rice (5kg),Grains & Staples,2023-01-01,347
Salmon Fillet,Meat & Seafood,2023-01-01,112
Soy Sauce (300ml),Condiments & Spices,2023-01-01,106
Spinach,Fruits & Vegetables,2023-01-01,121
Tomato Ketchup,Condiments & Spices,2023-01-01,96
Tomatoes,Fruits & Vegetables,2023-01-01,119
Tuna (Canned),Meat & Seafood,2023-01-01,229
Vegetable Oil,Oils & Fats,2023-01-01,185
Whole Wheat Bread,Grains & Staples,2023-01-01,273
Bananas,Fruits & Vegetables,2023-01-02,145
Bell Pepper,Fruits & Vegetables,2023-01-02,55
Butter (250g),Oils & Fats,2023-01-02,84
Cheddar Cheese,Dairy & Eggs,2023-01-02,94
Chicken Breast,Meat & Seafood,2023-01-02,168
Cumin Powder,Condiments & Spices,2023-01-02,53
Dark Chocolate,Snacks & Confectionery,2023-01-02,120
Eggs (12pk),Dairy & Eggs,2023-01-02,164
Frozen Peas (500g),Frozen Foods,2023-01-02,72
Frozen Pizza,Frozen Foods,2023-01-02,76
Greek Yogurt,Dairy & Eggs,2023-01-02,39
Green Tea (20pk),Beverages,2023-01-02,80
Ground Beef,Meat & Seafood,2023-01-02,64
Honey (500g),Snacks & Confectionery,2023-01-02,66
Milk (1L),Dairy & Eggs,2023-01-02,170
Mineral Water (2L),Beverages,2023-01-02,146
Oats (1kg),Grains & Staples,2023-01-02,117
Olive Oil,Oils & Fats,2023-01-02,58
Onions,Fruits & Vegetables,2023-01-02,63
Orange Juice (1L),Beverages,2023-01-02,72
Pasta (500g),Grains & Staples,2023-01-02,130
Potato Chips,Snacks & Confectionery,2023-01-02,78
Potatoes,Fruits & Vegetables,2023-01-02,149
Rice (5kg),Grains & Staples,2023-01-02,191
Salmon Fillet,Meat & Seafood,2023-01-02,101
Soy Sauce (300ml),Condiments & Spices,2023-01-02,59
Spinach,Fruits & Vegetables,2023-01-02,69
Tomato Ketchup,Condiments & Spices,2023-01-02,55
Tomatoes,Fruits & Vegetables,2023-01-02,58
Tuna (Canned),Meat & Seafood,2023-01-02,144
Vegetable Oil,Oils & Fats,2023-01-02,114
Whole Wheat Bread,Grains & Staples,2023-01-02,160
Bananas,Fruits & Vegetables,2023-01-03,152
Bell Pepper,Fruits & Vegetables,2023-01-03,66
Butter (250g),Oils & Fats,2023-01-03,92
Cheddar Cheese,Dairy & Eggs,2023-01-03,84
Chicken Breast,Meat & Seafood,2023-01-03,146
Cumin Powder,Condiments & Spices,2023-01-03,45
Dark Chocolate,Snacks & Confectionery,2023-01-03,92
Eggs (12pk),Dairy & Eggs,2023-01-03,216
Frozen Peas (500g),Frozen Foods,2023-01-03,96
Frozen Pizza,Frozen Foods,2023-01-03,82
Greek Yogurt,Dairy & Eggs,2023-01-03,79
Green Tea (20pk),Beverages,2023-01-03,82
Ground Beef,Meat & Seafood,2023-01-03,72
Honey (500g),Snacks & Confectionery,2023-01-03,53
Milk (1L),Dairy & Eggs,2023-01-03,184
Mineral Water (2L),Beverages,2023-01-03,153
Oats (1kg),Grains & Staples,2023-01-03,107
Olive Oil,Oils & Fats,2023-01-03,71
Onions,Fruits & Vegetables,2023-01-03,80
Orange Juice (1L),Beverages,2023-01-03,76
Pasta (500g),Grains & Staples,2023-01-03,147
Potato Chips,Snacks & Confectionery,2023-01-03,59
Potatoes,Fruits & Vegetables,2023-01-03,149
Rice (5kg),Grains & Staples,2023-01-03,220
Salmon Fillet,Meat & Seafood,2023-01-03,74
Soy Sauce (300ml),Condiments & Spices,2023-01-03,82
Spinach,Fruits & Vegetables,2023-01-03,78
Tomato Ketchup,Condiments & Spices,2023-01-03,64
Tomatoes,Fruits & Vegetables,2023-01-03,59
Tuna (Canned),Meat & Seafood,2023-01-03,118
Vegetable Oil,Oils & Fats,2023-01-03,102
Whole Wheat Bread,Grains & Staples,2023-01-03,166
Bananas,Fruits & Vegetables,2023-01-04,174
Bell Pepper,Fruits & Vegetables,2023-01-04,80
Butter (250g),Oils & Fats,2023-01-04,112
Cheddar Cheese,Dairy & Eggs,2023-01-04,78
Chicken Breast,Meat & Seafood,2023-01-04,123
Cumin Powder,Condiments & Spices,2023-01-04,52
Dark Chocolate,Snacks & Confectionery,2023-01-04,73
Eggs (12pk),Dairy & Eggs,2023-01-04,213
Frozen Peas (500g),Frozen Foods,2023-01-04,98
Frozen Pizza,Frozen Foods,2023-01-04,57
Greek Yogurt,Dairy & Eggs,2023-01-04,32
Green Tea (20pk),Beverages,2023-01-04,67
Ground Beef,Meat & Seafood,2023-01-04,55
Honey (500g),Snacks & Confectionery,2023-01-04,50
Milk (1L),Dairy & Eggs,2023-01-04,177
Mineral Water (2L),Beverages,2023-01-04,151
Oats (1kg),Grains & Staples,2023-01-04,88
Olive Oil,Oils & Fats,2023-01-04,53
Onions,Fruits & Vegetables,2023-01-04,104
Orange Juice (1L),Beverages,2023-01-04,76
Pasta (500g),Grains & Staples,2023-01-04,148
Potato Chips,Snacks & Confectionery,2023-01-04,60
Potatoes,Fruits & Vegetables,2023-01-04,122
Rice (5kg),Grains & Staples,2023-01-04,178
Salmon Fillet,Meat & Seafood,2023-01-04,81
Soy Sauce (300ml),Condiments & Spices,2023-01-04,70
Spinach,Fruits & Vegetables,2023-01-04,50
Tomato Ketchup,Condiments & Spices,2023-01-04,76
Tomatoes,Fruits & Vegetables,2023-01-04,61
Tuna (Canned),Meat & Seafood,2023-01-04,126
Vegetable Oil,Oils & Fats,2023-01-04,111
Whole Wheat Bread,Grains & Staples,2023-01-04,148
Bananas,Fruits & Vegetables,2023-01-05,169
Bell Pepper,Fruits & Vegetables,2023-01-05,53
Butter (250g),Oils & Fats,2023-01-05,83
Cheddar Cheese,Dairy & Eggs,2023-01-05,69
Chicken Breast,Meat & Seafood,2023-01-05,202
Cumin Powder,Condiments & Spices,2023-01-05,60
Dark Chocolate,Snacks & Confectionery,2023-01-05,84
Eggs (12pk),Dairy & Eggs,2023-01-05,229
Frozen Peas (500g),Frozen Foods,2023-01-05,91
Frozen Pizza,Frozen Foods,2023-01-05,69
Greek Yogurt,Dairy & Eggs,2023-01-05,61
Green Tea (20pk),Beverages,2023-01-05,69
Ground Beef,Meat & Seafood,2023-01-05,103
Honey (500g),Snacks & Confectionery,2023-01-05,58
Milk (1L),Dairy & Eggs,2023-01-05,196
Mineral Water (2L),Beverages,2023-01-05,177
Oats (1kg),Grains & Staples,2023-01-05,89
Olive Oil,Oils & Fats,2023-01-05,56
Onions,Fruits & Vegetables,2023-01-05,83
Orange Juice (1L),Beverages,2023-01-05,67
Pasta (500g),Grains & Staples,2023-01-05,169
Potato Chips,Snacks & Confectionery,2023-01-05,96
Potatoes,Fruits & Vegetables,2023-01-05,150
Rice (5kg),Grains & Staples,2023-01-05,192
Salmon Fillet,Meat & Seafood,2023-01-05,77
Soy Sauce (300ml),Condiments & Spices,2023-01-05,69
Spinach,Fruits & Vegetables,2023-01-05,84
Tomato Ketchup,Condiments & Spices,2023-01-05,67
Tomatoes,Fruits & Vegetables,2023-01-05,72
Tuna (Canned),Meat & Seafood,2023-01-05,131
Vegetable Oil,Oils & Fats,2023-01-05,89
Whole Wheat Bread,Grains & Staples,2023-01-05,164
Bananas,Fruits & Vegetables,2023-01-06,160
Bell Pepper,Fruits & Vegetables,2023-01-06,54
Butter (250g),Oils & Fats,2023-01-06,110
Cheddar Cheese,Dairy & Eggs,2023-01-06,72
Chicken Breast,Meat & Seafood,2023-01-06,164
Cumin Powder,Condiments & Spices,2023-01-06,45
Dark Chocolate,Snacks & Confectionery,2023-01-06,87
Eggs (12pk),Dairy & Eggs,2023-01-06,217
Frozen Peas (500g),Frozen Foods,2023-01-06,79
Frozen Pizza,Frozen Foods,2023-01-06,75
Greek Yogurt,Dairy & Eggs,2023-01-06,108
Green Tea (20pk),Beverages,2023-01-06,83
Ground Beef,Meat & Seafood,2023-01-06,90
Honey (500g),Snacks & Confectionery,2023-01-06,46
Milk (1L),Dairy & Eggs,2023-01-06,170
Mineral Water (2L),Beverages,2023-01-06,157
Oats (1kg),Grains & Staples,2023-01-06,95
Olive Oil,Oils & Fats,2023-01-06,67
Onions,Fruits & Vegetables,2023-01-06,74
Orange Juice (1L),Beverages,2023-01-06,76
Pasta (500g),Grains & Staples,2023-01-06,140
Potato Chips,Snacks & Confectionery,2023-01-06,101
Potatoes,Fruits & Vegetables,2023-01-06,161
Rice (5kg),Grains & Staples,2023-01-06,219
Salmon Fillet,Meat & Seafood,2023-01-06,77
Soy Sauce (300ml),Condiments & Spices,2023-01-06,68
Spinach,Fruits & Vegetables,2023-01-06,83
Tomato Ketchup,Condiments & Spices,2023-01-06,67
Tomatoes,Fruits & Vegetables,2023-01-06,58
Tuna (Canned),Meat & Seafood,2023-01-06,139
Vegetable Oil,Oils & Fats,2023-01-06,119
Whole Wheat Bread,Grains & Staples,2023-01-06,157
Bananas,Fruits & Vegetables,2023-01-07,195
Bell Pepper,Fruits & Vegetables,2023-01-07,92
Butter (250g),Oils & Fats,2023-01-07,128
Cheddar Cheese,Dairy & Eggs,2023-01-07,110
Chicken Breast,Meat & Seafood,2023-01-07,187
Cumin Powder,Condiments & Spices,2023-01-07,63
Dark Chocolate,Snacks & Confectionery,2023-01-07,144
Eggs (12pk),Dairy & Eggs,2023-01-07,257
Frozen Peas (500g),Frozen Foods,2023-01-07,122
Frozen Pizza,Frozen Foods,2023-01-07,94
Greek Yogurt,Dairy & Eggs,2023-01-07,77
Green Tea (20pk),Beverages,2023-01-07,83
Ground Beef,Meat & Seafood,2023-01-07,117
Honey (500g),Snacks & Confectionery,2023-01-07,65
Milk (1L),Dairy & Eggs,2023-01-07,224
Mineral Water (2L),Beverages,2023-01-07,168
Oats (1kg),Grains & Staples,2023-01-07,128
Olive Oil,Oils & Fats,2023-01-07,82
Onions,Fruits & Vegetables,2023-01-07,90
Orange Juice (1L),Beverages,2023-01-07,93
Pasta (500g),Grains & Staples,2023-01-07,177
Potato Chips,Snacks & Confectionery,2023-01-07,117
Potatoes,Fruits & Vegetables,2023-01-07,152
Rice (5kg),Grains & Staples,2023-01-07,246
Salmon Fillet,Meat & Seafood,2023-01-07,90
Soy Sauce (300ml),Condiments & Spices,2023-01-07,66
Spinach,Fruits & Vegetables,2023-01-07,86
Tomato Ketchup,Condiments & Spices,2023-01-07,70
